;infix;prefix;conclusion
43;( ( 2 and 4 ) or ( 2 and 3 ) );or and 2 4 and 2 3;2
44;( 1 and not 2 );and 1 not 2;1
45;( ( 1 or 2 ) and ( 1 and 1 ) );and or 1 2 and 1 1;1
46;( not 1 and ( 2 or 2 ) );and not 1 or 2 2;2
47;( ( 2 and 2 ) and ( 2 and 2 ) );and and 2 2 and 2 2;2
48;( ( 3 or 2 ) and not 3 );and or 3 2 not 3;2
49;( ( 2 or 2 ) and ( 4 or 3 ) );and or 2 2 or 4 3;2
50;( ( 5 or 5 ) or ( 5 and 2 ) );or or 5 5 and 5 2;5
51;( not 2 and ( 2 or 1 ) );and not 2 or 2 1;1
52;( 5 and ( 3 or 2 ) );and 5 or 3 2;5
53;( not 5 and 2 );and not 5 2;2
54;( ( 5 and 5 ) or ( 3 and 5 ) );or and 5 5 and 3 5;5
55;( 4 and not 3 );and 4 not 3;4
56;( ( 4 and 4 ) and ( 4 and 4 ) );and and 4 4 and 4 4;4
57;( ( 4 and 5 ) or ( 5 or 5 ) );or and 4 5 or 5 5;5
58;( not 3 and ( 3 or 4 ) );and not 3 or 3 4;4
59;( ( 1 or 3 ) and ( 4 and 4 ) );and or 1 3 and 4 4;4
60;( 3 and ( 2 or 5 ) );and 3 or 2 5;3
61;( 1 or ( 1 and 2 ) );or 1 and 1 2;1
62;( 1 and ( 3 or 5 ) );and 1 or 3 5;1
63;( not 4 and 1 );and not 4 1;1
64;( ( 2 or 1 ) and ( 3 and 3 ) );and or 2 1 and 3 3;3
65;( ( 1 or 4 ) and ( 4 or 4 ) );and or 1 4 or 4 4;4
66;( 3 or ( 3 and 4 ) );or 3 and 3 4;3
67;( ( 5 and 1 ) or 1 );or and 5 1 1;1
68;( ( 2 or 1 ) and not 2 );and or 2 1 not 2;1
69;( ( 4 and 5 ) or ( 5 and 2 ) );or and 4 5 and 5 2;5
70;( not 1 and ( 4 and 4 ) );and not 1 and 4 4;4
71;( ( 4 and 3 ) or 3 );or and 4 3 3;3
72;( ( 2 or 5 ) and 2 );and or 2 5 2;2
73;( not 3 and 2 );and not 3 2;2
74;( ( 2 or 2 ) or 2 );or or 2 2 2;2
75;( 5 and not 2 );and 5 not 2;5
76;( ( 2 or 5 ) and ( 2 or 2 ) );and or 2 5 or 2 2;2
77;( ( 3 or 4 ) and not 4 );and or 3 4 not 4;3
78;( 4 and ( 3 or 1 ) );and 4 or 3 1;4
79;( ( 4 and 4 ) and ( 2 or 5 ) );and and 4 4 or 2 5;4
80;( ( 4 and 2 ) or ( 4 and 5 ) );or and 4 2 and 4 5;4
81;( ( 2 and 5 ) or ( 5 and 3 ) );or and 2 5 and 5 3;5
82;( ( 4 or 4 ) and ( 4 or 2 ) );and or 4 4 or 4 2;4
83;( ( 2 and 2 ) and 2 );and and 2 2 2;2
84;( 5 or ( 1 and 5 ) );or 5 and 1 5;5
85;( ( 4 and 2 ) or ( 3 and 4 ) );or and 4 2 and 3 4;4
86;( not 3 and ( 3 or 2 ) );and not 3 or 3 2;2
87;( 4 or ( 2 and 4 ) );or 4 and 2 4;4
88;( ( 1 and 1 ) or ( 1 and 3 ) );or and 1 1 and 1 3;1
89;( ( 3 or 3 ) and 3 );and or 3 3 3;3
90;( ( 3 and 1 ) or ( 1 and 1 ) );or and 3 1 and 1 1;1
91;( not 5 and ( 1 or 1 ) );and not 5 or 1 1;1
92;( ( 1 and 1 ) and not 3 );and and 1 1 not 3;1
93;( ( 2 or 4 ) and not 4 );and or 2 4 not 4;2
94;( not 4 and 2 );and not 4 2;2
95;( 1 and not 3 );and 1 not 3;1
96;( ( 4 or 4 ) and not 3 );and or 4 4 not 3;4
97;( ( 3 or 5 ) and not 3 );and or 3 5 not 3;5
98;( ( 2 or 4 ) and not 2 );and or 2 4 not 2;4
99;( ( 1 and 1 ) or ( 4 and 1 ) );or and 1 1 and 4 1;1
100;( ( 2 and 2 ) and ( 1 or 3 ) );and and 2 2 or 1 3;2
101;( not 5 and ( 1 or 5 ) );and not 5 or 1 5;1
102;( not 4 and 5 );and not 4 5;5
103;( not 2 and ( 5 or 5 ) );and not 2 or 5 5;5
104;( not 2 and 3 );and not 2 3;3
105;( ( 2 or 5 ) and ( 3 or 3 ) );and or 2 5 or 3 3;3
106;( 1 or ( 4 and 1 ) );or 1 and 4 1;1
107;( 5 and ( 5 or 4 ) );and 5 or 5 4;5
108;( ( 4 or 1 ) and ( 2 and 2 ) );and or 4 1 and 2 2;2
109;( ( 3 or 2 ) and 1 );and or 3 2 1;1
110;( not 1 and ( 5 and 5 ) );and not 1 and 5 5;5
111;( ( 3 and 5 ) or ( 3 and 1 ) );or and 3 5 and 3 1;3
112;( ( 4 and 2 ) or ( 2 and 3 ) );or and 4 2 and 2 3;2
113;( ( 3 or 5 ) and ( 3 or 3 ) );and or 3 5 or 3 3;3
114;( ( 4 and 5 ) or ( 5 and 3 ) );or and 4 5 and 5 3;5
115;( ( 3 and 3 ) or ( 3 and 4 ) );or and 3 3 and 3 4;3
116;( 5 and not 1 );and 5 not 1;5
117;( ( 1 or 3 ) and ( 3 and 3 ) );and or 1 3 and 3 3;3
118;( ( 2 and 2 ) and ( 2 or 3 ) );and and 2 2 or 2 3;2
119;( 3 and ( 1 or 5 ) );and 3 or 1 5;3
120;( 2 and ( 2 and 2 ) );and 2 and 2 2;2
121;( ( 1 or 4 ) and ( 3 or 3 ) );and or 1 4 or 3 3;3
122;( 2 and not 5 );and 2 not 5;2
123;( ( 1 and 1 ) and not 5 );and and 1 1 not 5;1
124;( ( 2 or 3 ) and not 3 );and or 2 3 not 3;2
125;( ( 2 or 2 ) and ( 5 or 4 ) );and or 2 2 or 5 4;2
126;( not 3 and ( 2 and 2 ) );and not 3 and 2 2;2
127;( ( 5 or 4 ) and ( 1 and 1 ) );and or 5 4 and 1 1;1
128;( not 3 and ( 5 or 3 ) );and not 3 or 5 3;5
129;( ( 4 and 4 ) and ( 2 or 3 ) );and and 4 4 or 2 3;4
130;( ( 3 or 3 ) and not 2 );and or 3 3 not 2;3
131;( ( 1 or 4 ) and not 4 );and or 1 4 not 4;1
132;( ( 4 or 4 ) and ( 5 or 2 ) );and or 4 4 or 5 2;4
133;( ( 4 and 4 ) and not 2 );and and 4 4 not 2;4
134;( ( 1 and 5 ) or ( 5 and 2 ) );or and 1 5 and 5 2;5
135;( ( 4 and 3 ) or 4 );or and 4 3 4;4
136;( not 2 and ( 1 or 2 ) );and not 2 or 1 2;1
137;( ( 4 or 3 ) and ( 4 and 4 ) );and or 4 3 and 4 4;4
138;( not 2 and ( 2 or 3 ) );and not 2 or 2 3;3
139;( ( 1 or 1 ) and ( 1 or 1 ) );and or 1 1 or 1 1;1
140;( ( 2 or 1 ) and not 1 );and or 2 1 not 1;2
141;( ( 4 or 4 ) and ( 2 or 4 ) );and or 4 4 or 2 4;4
142;( 2 or 2 );or 2 2;2
143;( 1 and ( 5 or 3 ) );and 1 or 5 3;1
144;( 3 and not 5 );and 3 not 5;3
145;( ( 5 or 1 ) and not 5 );and or 5 1 not 5;1
146;( ( 1 and 2 ) or ( 3 and 2 ) );or and 1 2 and 3 2;2
147;( ( 5 or 1 ) and ( 2 or 2 ) );and or 5 1 or 2 2;2
148;( not 1 and 3 );and not 1 3;3
149;( ( 1 and 4 ) or ( 4 and 2 ) );or and 1 4 and 4 2;4
150;( not 5 and ( 5 or 2 ) );and not 5 or 5 2;2
151;( 2 and ( 1 or 2 ) );and 2 or 1 2;2
152;( ( 5 and 5 ) and ( 3 or 2 ) );and and 5 5 or 3 2;5
153;( ( 2 and 4 ) or ( 5 and 2 ) );or and 2 4 and 5 2;2
154;( ( 2 or 1 ) and ( 5 and 5 ) );and or 2 1 and 5 5;5
155;( ( 1 and 1 ) or ( 1 and 1 ) );or and 1 1 and 1 1;1
156;( not 3 and ( 4 or 3 ) );and not 3 or 4 3;4
157;( ( 2 or 2 ) or ( 2 and 4 ) );or or 2 2 and 2 4;2
158;( ( 4 or 2 ) and ( 3 or 3 ) );and or 4 2 or 3 3;3
159;( not 4 and ( 1 and 1 ) );and not 4 and 1 1;1
160;( ( 3 or 2 ) and ( 4 and 4 ) );and or 3 2 and 4 4;4
161;( not 3 and ( 5 or 5 ) );and not 3 or 5 5;5
162;( ( 5 or 1 ) and not 1 );and or 5 1 not 1;5
163;( ( 5 or 1 ) and 1 );and or 5 1 1;1
164;( 5 and ( 4 or 3 ) );and 5 or 4 3;5
165;( ( 1 or 2 ) and 1 );and or 1 2 1;1
166;( not 5 and ( 2 or 2 ) );and not 5 or 2 2;2
167;( ( 4 and 2 ) or 4 );or and 4 2 4;4
168;( ( 1 and 2 ) or ( 5 and 2 ) );or and 1 2 and 5 2;2
169;( not 4 and ( 4 or 3 ) );and not 4 or 4 3;3
170;( ( 3 and 4 ) or ( 1 and 4 ) );or and 3 4 and 1 4;4
171;( ( 1 and 3 ) or 3 );or and 1 3 3;3
172;( ( 3 or 3 ) and ( 5 or 4 ) );and or 3 3 or 5 4;3
173;( not 5 and ( 1 and 1 ) );and not 5 and 1 1;1
174;( ( 3 and 1 ) or ( 3 and 4 ) );or and 3 1 and 3 4;3
175;( ( 3 and 2 ) or 3 );or and 3 2 3;3
176;( ( 3 and 4 ) or ( 2 and 4 ) );or and 3 4 and 2 4;4
177;( 3 or ( 5 and 3 ) );or 3 and 5 3;3
178;( ( 5 and 2 ) or ( 1 and 5 ) );or and 5 2 and 1 5;5
179;( ( 1 or 1 ) and not 5 );and or 1 1 not 5;1
180;( not 2 and 4 );and not 2 4;4
181;( ( 3 or 5 ) and ( 5 and 5 ) );and or 3 5 and 5 5;5
182;( ( 3 or 4 ) and ( 3 and 3 ) );and or 3 4 and 3 3;3
183;( ( 1 or 3 ) and ( 5 or 5 ) );and or 1 3 or 5 5;5
184;( 1 and not 4 );and 1 not 4;1
185;( 3 and ( 3 or 2 ) );and 3 or 3 2;3
186;( ( 5 and 1 ) or ( 1 and 4 ) );or and 5 1 and 1 4;1
187;( ( 3 and 3 ) and not 4 );and and 3 3 not 4;3
188;( ( 4 or 1 ) and ( 3 and 3 ) );and or 4 1 and 3 3;3
189;( ( 5 and 3 ) or ( 5 and 2 ) );or and 5 3 and 5 2;5
190;( not 5 and ( 5 or 1 ) );and not 5 or 5 1;1
191;( not 1 and ( 1 or 4 ) );and not 1 or 1 4;4
192;( ( 4 or 5 ) and not 4 );and or 4 5 not 4;5
193;( ( 5 and 1 ) or ( 4 and 5 ) );or and 5 1 and 4 5;5
194;( ( 1 or 3 ) and not 3 );and or 1 3 not 3;1
195;( ( 1 or 4 ) and ( 1 and 1 ) );and or 1 4 and 1 1;1
196;( not 5 and 3 );and not 5 3;3
197;( not 2 and ( 2 or 4 ) );and not 2 or 2 4;4
198;( ( 4 or 3 ) and 5 );and or 4 3 5;5
199;( ( 3 and 3 ) or ( 3 and 3 ) );or and 3 3 and 3 3;3
200;( ( 1 or 3 ) and 2 );and or 1 3 2;2
201;( ( 5 and 5 ) and ( 5 or 5 ) );and and 5 5 or 5 5;5
202;( not 4 and ( 4 or 2 ) );and not 4 or 4 2;2
203;( ( 4 or 2 ) and not 2 );and or 4 2 not 2;4
204;( ( 3 and 2 ) or ( 1 and 2 ) );or and 3 2 and 1 2;2
205;( ( 3 or 5 ) and 2 );and or 3 5 2;2
206;( ( 5 and 4 ) or ( 5 or 5 ) );or and 5 4 or 5 5;5
207;( ( 4 or 4 ) and ( 2 or 3 ) );and or 4 4 or 2 3;4
208;( ( 5 or 5 ) and ( 1 or 5 ) );and or 5 5 or 1 5;5
209;( not 5 and ( 3 or 5 ) );and not 5 or 3 5;3
210;( ( 4 and 4 ) and not 5 );and and 4 4 not 5;4
211;( ( 4 or 1 ) and not 1 );and or 4 1 not 1;4
212;( not 4 and ( 3 and 3 ) );and not 4 and 3 3;3
213;( ( 2 and 4 ) or ( 3 and 4 ) );or and 2 4 and 3 4;4
214;( ( 2 and 2 ) or ( 2 and 5 ) );or and 2 2 and 2 5;2
215;( ( 1 or 1 ) and ( 5 or 2 ) );and or 1 1 or 5 2;1
216;( ( 1 and 1 ) and ( 1 or 4 ) );and and 1 1 or 1 4;1
217;( ( 3 or 5 ) and ( 2 or 2 ) );and or 3 5 or 2 2;2
218;( ( 5 and 2 ) or ( 2 and 3 ) );or and 5 2 and 2 3;2
219;( ( 5 or 5 ) and ( 1 or 3 ) );and or 5 5 or 1 3;5
220;( 4 and ( 3 or 2 ) );and 4 or 3 2;4
221;( ( 3 and 3 ) and ( 4 or 5 ) );and and 3 3 or 4 5;3
222;( not 2 and ( 3 or 3 ) );and not 2 or 3 3;3
223;( ( 3 and 3 ) and not 2 );and and 3 3 not 2;3
224;( ( 1 and 3 ) or ( 5 and 3 ) );or and 1 3 and 5 3;3
225;( ( 2 and 2 ) or 2 );or and 2 2 2;2
226;( 4 and ( 3 or 4 ) );and 4 or 3 4;4
227;( ( 1 and 5 ) or ( 5 or 5 ) );or and 1 5 or 5 5;5
228;( 1 and ( 2 or 3 ) );and 1 or 2 3;1
229;( ( 5 and 1 ) or ( 5 and 4 ) );or and 5 1 and 5 4;5
230;( ( 5 and 1 ) or ( 2 and 1 ) );or and 5 1 and 2 1;1
231;( not 5 and ( 4 or 5 ) );and not 5 or 4 5;4
232;( not 3 and 4 );and not 3 4;4
233;( 3 and ( 3 or 1 ) );and 3 or 3 1;3
234;( ( 2 or 4 ) and 3 );and or 2 4 3;3
235;( ( 3 and 5 ) or ( 5 and 2 ) );or and 3 5 and 5 2;5
236;( ( 5 or 2 ) and 4 );and or 5 2 4;4
237;( 4 or ( 4 or 4 ) );or 4 or 4 4;4
238;( ( 1 or 1 ) and ( 5 or 4 ) );and or 1 1 or 5 4;1
239;( ( 1 or 1 ) and ( 1 or 5 ) );and or 1 1 or 1 5;1
240;( ( 2 and 2 ) and ( 4 or 5 ) );and and 2 2 or 4 5;2
241;( ( 5 and 5 ) or ( 5 and 1 ) );or and 5 5 and 5 1;5
242;( ( 2 or 3 ) and ( 5 and 5 ) );and or 2 3 and 5 5;5
243;( ( 4 or 4 ) and ( 5 or 3 ) );and or 4 4 or 5 3;4
244;( ( 1 and 2 ) or ( 3 and 1 ) );or and 1 2 and 3 1;1
245;( ( 3 or 2 ) and 2 );and or 3 2 2;2
246;( ( 3 and 1 ) or 3 );or and 3 1 3;3
247;( ( 1 and 3 ) or ( 1 or 1 ) );or and 1 3 or 1 1;1
248;( 2 and ( 4 or 3 ) );and 2 or 4 3;2
249;( not 1 and ( 1 or 5 ) );and not 1 or 1 5;5
250;( ( 1 or 1 ) and not 4 );and or 1 1 not 4;1
251;( ( 2 or 4 ) and ( 2 and 2 ) );and or 2 4 and 2 2;2
252;( 4 and ( 1 or 5 ) );and 4 or 1 5;4
253;( ( 2 and 1 ) or ( 2 and 3 ) );or and 2 1 and 2 3;2
254;( ( 3 and 2 ) or ( 2 and 5 ) );or and 3 2 and 2 5;2
255;( ( 3 and 4 ) or 3 );or and 3 4 3;3
256;( ( 4 and 3 ) or ( 5 and 4 ) );or and 4 3 and 5 4;4
257;( ( 1 and 1 ) and ( 3 or 5 ) );and and 1 1 or 3 5;1
258;( not 4 and ( 1 or 1 ) );and not 4 or 1 1;1
259;( ( 1 or 1 ) or ( 3 and 1 ) );or or 1 1 and 3 1;1
260;( 5 and not 3 );and 5 not 3;5
261;( ( 1 or 5 ) and 3 );and or 1 5 3;3
262;( 1 and ( 3 or 4 ) );and 1 or 3 4;1
263;( ( 5 and 5 ) or ( 5 and 2 ) );or and 5 5 and 5 2;5
264;( ( 2 and 2 ) and not 1 );and and 2 2 not 1;2
265;( 3 and ( 4 or 2 ) );and 3 or 4 2;3
266;( ( 4 or 4 ) or ( 4 and 3 ) );or or 4 4 and 4 3;4
267;( ( 5 or 2 ) and not 2 );and or 5 2 not 2;5
268;( ( 4 or 4 ) or ( 5 and 4 ) );or or 4 4 and 5 4;4
269;( ( 1 and 1 ) and ( 3 or 1 ) );and and 1 1 or 3 1;1
270;( 3 or 3 );or 3 3;3
271;( not 4 and ( 3 or 3 ) );and not 4 or 3 3;3
272;( not 1 and ( 3 and 3 ) );and not 1 and 3 3;3
273;( ( 2 or 4 ) and 1 );and or 2 4 1;1
274;( not 3 and ( 4 and 4 ) );and not 3 and 4 4;4
275;( ( 1 or 5 ) and ( 1 and 1 ) );and or 1 5 and 1 1;1
276;( ( 3 or 1 ) and 5 );and or 3 1 5;5
277;( not 4 and ( 5 or 5 ) );and not 4 or 5 5;5
278;( ( 3 and 2 ) or ( 4 and 3 ) );or and 3 2 and 4 3;3
279;( ( 4 or 5 ) and 4 );and or 4 5 4;4
280;( not 3 and ( 4 or 4 ) );and not 3 or 4 4;4
281;( ( 5 or 3 ) and 1 );and or 5 3 1;1
282;( ( 2 and 2 ) and not 3 );and and 2 2 not 3;2
283;( 2 and ( 2 or 3 ) );and 2 or 2 3;2
284;( 5 and ( 3 or 1 ) );and 5 or 3 1;5
285;( ( 5 and 2 ) or ( 4 and 2 ) );or and 5 2 and 4 2;2
286;( ( 4 and 4 ) and not 1 );and and 4 4 not 1;4
287;( ( 3 and 1 ) or ( 5 and 1 ) );or and 3 1 and 5 1;1
288;( 5 and ( 5 or 1 ) );and 5 or 5 1;5
289;( not 3 and 1 );and not 3 1;1
290;( not 4 and ( 2 and 2 ) );and not 4 and 2 2;2
291;( not 2 and 5 );and not 2 5;5
292;( ( 4 and 4 ) and ( 3 or 4 ) );and and 4 4 or 3 4;4
293;( 5 and ( 5 or 3 ) );and 5 or 5 3;5
294;( ( 4 or 3 ) and ( 2 and 2 ) );and or 4 3 and 2 2;2
295;( ( 3 and 3 ) and 3 );and and 3 3 3;3
296;( ( 4 or 2 ) and ( 5 and 5 ) );and or 4 2 and 5 5;5
297;( ( 5 and 5 ) and not 1 );and and 5 5 not 1;5
298;( 1 and 1 );and 1 1;1
299;( not 5 and ( 3 and 3 ) );and not 5 and 3 3;3
300;( not 3 and 5 );and not 3 5;5
301;( not 2 and ( 4 or 4 ) );and not 2 or 4 4;4
302;( 3 and not 4 );and 3 not 4;3
303;( 2 and not 3 );and 2 not 3;2
304;( ( 3 and 1 ) or ( 2 and 3 ) );or and 3 1 and 2 3;3
305;( ( 1 and 4 ) or ( 1 and 2 ) );or and 1 4 and 1 2;1
306;( 4 and not 5 );and 4 not 5;4
307;( ( 1 or 2 ) and ( 2 or 2 ) );and or 1 2 or 2 2;2
308;( ( 5 or 5 ) and ( 5 or 2 ) );and or 5 5 or 5 2;5
309;( ( 4 and 3 ) or ( 4 and 2 ) );or and 4 3 and 4 2;4
310;( ( 2 or 2 ) and not 1 );and or 2 2 not 1;2
311;( ( 2 or 1 ) and ( 1 and 1 ) );and or 2 1 and 1 1;1
312;( ( 1 or 5 ) and 5 );and or 1 5 5;5
313;( ( 4 and 2 ) or ( 4 or 4 ) );or and 4 2 or 4 4;4
314;( 4 and ( 3 or 5 ) );and 4 or 3 5;4
315;( ( 1 or 1 ) and ( 5 or 3 ) );and or 1 1 or 5 3;1
316;( not 2 and ( 3 or 2 ) );and not 2 or 3 2;3
317;( ( 5 and 1 ) or ( 4 and 1 ) );or and 5 1 and 4 1;1
318;( ( 1 or 1 ) or ( 1 or 1 ) );or or 1 1 or 1 1;1
319;( ( 3 and 3 ) and ( 3 or 2 ) );and and 3 3 or 3 2;3
320;( ( 4 and 2 ) or ( 3 and 2 ) );or and 4 2 and 3 2;2
321;( ( 1 or 2 ) and ( 2 and 2 ) );and or 1 2 and 2 2;2
322;( 3 and 3 );and 3 3;3
323;( ( 3 or 1 ) and ( 3 and 3 ) );and or 3 1 and 3 3;3
324;( not 2 and ( 1 and 1 ) );and not 2 and 1 1;1
325;( ( 4 or 3 ) and not 3 );and or 4 3 not 3;4
326;( ( 5 or 3 ) and ( 5 and 5 ) );and or 5 3 and 5 5;5
327;( ( 2 or 4 ) and 2 );and or 2 4 2;2
328;( ( 3 and 3 ) and ( 4 or 2 ) );and and 3 3 or 4 2;3
329;( ( 1 and 3 ) or ( 1 and 1 ) );or and 1 3 and 1 1;1
330;( ( 3 or 4 ) and ( 4 or 4 ) );and or 3 4 or 4 4;4
331;( ( 1 and 2 ) or ( 1 and 1 ) );or and 1 2 and 1 1;1
332;( ( 5 or 1 ) and ( 5 and 5 ) );and or 5 1 and 5 5;5
333;( ( 5 and 3 ) or 3 );or and 5 3 3;3
334;( ( 2 and 5 ) or 2 );or and 2 5 2;2
335;( ( 4 or 2 ) and not 4 );and or 4 2 not 4;2
336;( ( 4 and 1 ) or ( 4 and 3 ) );or and 4 1 and 4 3;4
337;( not 1 and ( 3 or 1 ) );and not 1 or 3 1;3
338;( ( 2 and 5 ) or ( 2 or 2 ) );or and 2 5 or 2 2;2
339;( not 3 and ( 2 or 3 ) );and not 3 or 2 3;2
340;( ( 5 and 5 ) or ( 5 or 5 ) );or and 5 5 or 5 5;5
341;( ( 5 and 4 ) or ( 2 and 4 ) );or and 5 4 and 2 4;4
342;( ( 3 or 3 ) and ( 4 or 2 ) );and or 3 3 or 4 2;3
343;( ( 2 and 2 ) and not 4 );and and 2 2 not 4;2
344;( 4 or ( 4 and 2 ) );or 4 and 4 2;4
345;( 4 and not 1 );and 4 not 1;4
346;( 2 or ( 2 or 2 ) );or 2 or 2 2;2
347;( ( 5 or 5 ) and ( 2 or 5 ) );and or 5 5 or 2 5;5
348;( ( 2 or 4 ) and 4 );and or 2 4 4;4
349;( not 1 and ( 5 or 5 ) );and not 1 or 5 5;5
350;( not 5 and ( 4 or 4 ) );and not 5 or 4 4;4
351;( ( 5 and 2 ) or ( 5 and 5 ) );or and 5 2 and 5 5;5
352;( 3 and ( 3 or 5 ) );and 3 or 3 5;3
353;( ( 4 or 2 ) and 5 );and or 4 2 5;5
354;( ( 2 or 2 ) and ( 2 and 2 ) );and or 2 2 and 2 2;2
355;( ( 3 and 3 ) or ( 2 and 3 ) );or and 3 3 and 2 3;3
356;( ( 3 or 5 ) and ( 4 or 4 ) );and or 3 5 or 4 4;4
357;( 4 and 4 );and 4 4;4
358;( not 3 and ( 3 or 1 ) );and not 3 or 3 1;1
359;( 2 and ( 4 or 2 ) );and 2 or 4 2;2
360;( 2 and ( 1 or 4 ) );and 2 or 1 4;2
361;( ( 5 and 3 ) or 5 );or and 5 3 5;5
362;( ( 3 or 3 ) and ( 5 or 2 ) );and or 3 3 or 5 2;3
363;( ( 3 or 3 ) and ( 1 or 3 ) );and or 3 3 or 1 3;3
364;( ( 2 and 2 ) or ( 2 or 2 ) );or and 2 2 or 2 2;2
365;( not 4 and ( 4 or 1 ) );and not 4 or 4 1;1
366;( 1 or ( 5 and 1 ) );or 1 and 5 1;1
367;( 1 and ( 1 or 3 ) );and 1 or 1 3;1
368;( not 1 and 5 );and not 1 5;5
369;( not 4 and ( 2 or 2 ) );and not 4 or 2 2;2
370;( ( 3 or 5 ) and ( 2 and 2 ) );and or 3 5 and 2 2;2
371;( ( 2 or 2 ) and ( 2 or 3 ) );and or 2 2 or 2 3;2
372;( ( 5 or 4 ) and ( 2 and 2 ) );and or 5 4 and 2 2;2
373;( ( 2 and 1 ) or ( 1 and 5 ) );or and 2 1 and 1 5;1
374;( ( 2 and 3 ) or 3 );or and 2 3 3;3
375;( 5 and not 4 );and 5 not 4;5
376;( ( 2 and 2 ) and ( 5 or 3 ) );and and 2 2 or 5 3;2
377;( ( 4 and 3 ) or ( 3 and 2 ) );or and 4 3 and 3 2;3
378;( ( 4 or 4 ) and not 1 );and or 4 4 not 1;4
379;( ( 1 and 4 ) or ( 3 and 4 ) );or and 1 4 and 3 4;4
380;( ( 1 or 2 ) and ( 5 or 5 ) );and or 1 2 or 5 5;5
381;( 5 or ( 5 and 5 ) );or 5 and 5 5;5
382;( 3 or ( 3 and 2 ) );or 3 and 3 2;3
383;( ( 4 or 5 ) and not 5 );and or 4 5 not 5;4
384;( ( 2 or 5 ) and ( 4 and 4 ) );and or 2 5 and 4 4;4
385;( ( 5 or 5 ) and ( 5 or 4 ) );and or 5 5 or 5 4;5
386;( ( 5 or 5 ) and not 1 );and or 5 5 not 1;5
387;( ( 3 and 2 ) or 2 );or and 3 2 2;2
388;( ( 1 and 1 ) and ( 5 or 4 ) );and and 1 1 or 5 4;1
389;( 4 and ( 4 and 4 ) );and 4 and 4 4;4
390;( ( 5 and 5 ) and not 4 );and and 5 5 not 4;5
391;( ( 5 or 5 ) and ( 5 or 5 ) );and or 5 5 or 5 5;5
392;( ( 3 or 3 ) and ( 3 or 5 ) );and or 3 3 or 3 5;3
393;( ( 1 or 4 ) and 2 );and or 1 4 2;2
394;( ( 2 and 2 ) and ( 1 or 5 ) );and and 2 2 or 1 5;2
395;( ( 4 or 1 ) and not 4 );and or 4 1 not 4;1
396;( ( 5 and 4 ) or ( 5 and 3 ) );or and 5 4 and 5 3;5
397;( 1 and ( 4 or 5 ) );and 1 or 4 5;1
398;( 3 and ( 3 or 4 ) );and 3 or 3 4;3
399;( ( 5 and 5 ) and ( 3 or 5 ) );and and 5 5 or 3 5;5
400;( ( 2 and 5 ) or ( 5 or 5 ) );or and 2 5 or 5 5;5
401;( ( 2 or 5 ) and ( 4 or 4 ) );and or 2 5 or 4 4;4
402;( ( 1 and 3 ) or ( 1 and 2 ) );or and 1 3 and 1 2;1
