;infix;prefix;conclusion
90;not 3 sep ( 4 or 4 );sep not 3 or 4 4;nnFTn
91;( 1 or 2 ) sep ( 5 and 2 );sep or 1 2 and 5 2;nTnnT
92;not 4 sep not 4;sep not 4 not 4;nnnFn
93;( 2 and 4 ) sep ( 4 or 4 );sep and 2 4 or 4 4;nTnTn
94;not 2 sep ( 5 or 4 );sep not 2 or 5 4;nFnnT,nFnTn
95;not 5 sep ( 3 and 3 );sep not 5 and 3 3;nnTnF
96;( 3 and 1 ) sep not 4;sep and 3 1 not 4;TnTFn
97;not 4 sep not 5;sep not 4 not 5;nnnFF
98;( 5 and 4 ) sep ( 4 or 5 );sep and 5 4 or 4 5;nnnTT
99;not 5 sep not 1;sep not 5 not 1;FnnnF
100;not 5 sep ( 3 and 4 );sep not 5 and 3 4;nnTTF
101;( 2 or 4 ) sep not 5;sep or 2 4 not 5;nnnTF,nTnnF
102;not 4 sep ( 4 or 5 );sep not 4 or 4 5;nnnFT
103;( 2 or 2 ) sep not 1;sep or 2 2 not 1;FTnnn
104;( 4 and 1 ) sep ( 3 and 3 );sep and 4 1 and 3 3;TnTTn
105;( 3 or 1 ) sep ( 4 and 3 );sep or 3 1 and 4 3;nnTTn
106;( 3 and 4 ) sep ( 5 or 2 );sep and 3 4 or 5 2;nnTTT,nTTTn
107;( 1 and 2 ) sep ( 3 and 4 );sep and 1 2 and 3 4;TTTTn
108;( 2 and 2 ) sep ( 3 or 5 );sep and 2 2 or 3 5;nTnnT,nTTnn
109;not 2 sep ( 3 and 5 );sep not 2 and 3 5;nFTnT
110;not 4 sep ( 4 or 3 );sep not 4 or 4 3;nnTFn
111;( 2 or 1 ) sep ( 1 or 2 );sep or 2 1 or 1 2;nTnnn,Tnnnn
112;( 5 or 4 ) sep not 2;sep or 5 4 not 2;nFnnT,nFnTn
113;( 2 or 1 ) sep ( 4 and 3 );sep or 2 1 and 4 3;nTTTn,TnTTn
114;( 5 and 2 ) sep ( 1 or 1 );sep and 5 2 or 1 1;TTnnT
115;( 4 or 1 ) sep ( 2 and 3 );sep or 4 1 and 2 3;nTTTn,TTTnn
116;( 4 and 2 ) sep 1;sep and 4 2 1;TTnTn
117;5 sep ( 4 or 4 );sep 5 or 4 4;nnnTT
118;( 2 or 5 ) sep ( 4 and 3 );sep or 2 5 and 4 3;nnTTT,nTTTn
119;( 1 or 2 ) sep ( 1 or 5 );sep or 1 2 or 1 5;nTnnT,Tnnnn
120;not 4 sep not 2;sep not 4 not 2;nFnFn
121;4 sep ( 3 or 4 );sep 4 or 3 4;nnnTn
122;( 1 and 2 ) sep ( 5 or 1 );sep and 1 2 or 5 1;TTnnn
123;( 2 or 3 ) sep ( 5 and 2 );sep or 2 3 and 5 2;nTnnT
124;( 4 and 3 ) sep ( 1 or 5 );sep and 4 3 or 1 5;nnTTT,TnTTn
125;( 2 or 1 ) sep ( 1 and 3 );sep or 2 1 and 1 3;TnTnn
126;not 4 sep ( 3 and 2 );sep not 4 and 3 2;nTTFn
127;( 2 or 5 ) sep ( 1 or 5 );sep or 2 5 or 1 5;nnnnT,TTnnn
128;( 3 and 2 ) sep ( 4 and 1 );sep and 3 2 and 4 1;TTTTn
129;not 1 sep ( 2 or 5 );sep not 1 or 2 5;FnnnT,FTnnn
130;not 3 sep 1;sep not 3 1;TnFnn
131;( 5 or 1 ) sep ( 2 or 4 );sep or 5 1 or 2 4;nnnTT,nTnnT,TnnTn,TTnnn
132;( 3 or 2 ) sep not 4;sep or 3 2 not 4;nnTFn,nTnFn
133;( 1 and 1 ) sep 4;sep and 1 1 4;TnnTn
134;( 3 or 1 ) sep ( 1 or 1 );sep or 3 1 or 1 1;Tnnnn
135;( 2 or 3 ) sep ( 1 or 3 );sep or 2 3 or 1 3;nnTnn,TTnnn
136;( 1 and 1 ) sep ( 3 or 5 );sep and 1 1 or 3 5;TnnnT,TnTnn
137;( 3 and 2 ) sep ( 1 or 4 );sep and 3 2 or 1 4;nTTTn,TTTnn
138;( 2 and 1 ) sep ( 3 and 2 );sep and 2 1 and 3 2;TTTnn
139;3 sep ( 3 or 4 );sep 3 or 3 4;nnTnn
140;( 1 or 4 ) sep ( 4 or 2 );sep or 1 4 or 4 2;nnnTn,TTnnn
141;not 1 sep ( 2 or 1 );sep not 1 or 2 1;FTnnn
142;( 5 and 1 ) sep ( 3 or 3 );sep and 5 1 or 3 3;TnTnT
143;2 sep not 5;sep 2 not 5;nTnnF
144;not 1 sep not 3;sep not 1 not 3;FnFnn
145;( 5 or 5 ) sep not 4;sep or 5 5 not 4;nnnFT
146;( 2 or 5 ) sep not 3;sep or 2 5 not 3;nnFnT,nTFnn
147;( 2 and 4 ) sep ( 2 or 4 );sep and 2 4 or 2 4;nTnTn
148;( 3 or 5 ) sep 2;sep or 3 5 2;nTnnT,nTTnn
149;not 4 sep ( 2 or 3 );sep not 4 or 2 3;nnTFn,nTnFn
150;( 3 or 2 ) sep ( 2 or 1 );sep or 3 2 or 2 1;nTnnn,TnTnn
151;( 5 and 5 ) sep ( 3 or 5 );sep and 5 5 or 3 5;nnnnT
152;( 5 or 4 ) sep not 4;sep or 5 4 not 4;nnnFT
153;not 4 sep ( 5 or 2 );sep not 4 or 5 2;nnnFT,nTnFn
154;( 5 or 3 ) sep ( 1 or 3 );sep or 5 3 or 1 3;nnTnn,TnnnT
155;( 3 and 1 ) sep 1;sep and 3 1 1;TnTnn
156;( 4 or 5 ) sep ( 5 and 5 );sep or 4 5 and 5 5;nnnnT
157;not 3 sep ( 2 and 5 );sep not 3 and 2 5;nTFnT
158;not 1 sep not 2;sep not 1 not 2;FFnnn
159;( 1 or 3 ) sep ( 2 or 5 );sep or 1 3 or 2 5;nnTnT,nTTnn,TnnnT,TTnnn
160;( 4 or 1 ) sep ( 4 or 5 );sep or 4 1 or 4 5;nnnTn,TnnnT
161;( 4 and 1 ) sep ( 3 or 2 );sep and 4 1 or 3 2;TnTTn,TTnTn
162;( 4 and 2 ) sep ( 1 or 3 );sep and 4 2 or 1 3;nTTTn,TTnTn
163;( 3 and 1 ) sep ( 1 or 4 );sep and 3 1 or 1 4;TnTnn
164;( 3 and 4 ) sep 4;sep and 3 4 4;nnTTn
165;4 sep ( 3 or 1 );sep 4 or 3 1;nnTTn,TnnTn
166;( 4 and 5 ) sep ( 4 and 2 );sep and 4 5 and 4 2;nTnTT
167;( 2 or 1 ) sep ( 1 and 5 );sep or 2 1 and 1 5;TnnnT
168;( 3 or 3 ) sep ( 4 and 2 );sep or 3 3 and 4 2;nTTTn
169;( 4 and 3 ) sep ( 2 or 1 );sep and 4 3 or 2 1;nTTTn,TnTTn
170;( 3 and 5 ) sep ( 2 and 2 );sep and 3 5 and 2 2;nTTnT
171;not 2 sep ( 1 or 3 );sep not 2 or 1 3;nFTnn,TFnnn
172;( 3 or 5 ) sep ( 4 or 3 );sep or 3 5 or 4 3;nnnTT,nnTnn
173;not 5 sep not 2;sep not 5 not 2;nFnnF
174;3 sep ( 1 and 5 );sep 3 and 1 5;TnTnT
175;4 sep ( 4 and 3 );sep 4 and 4 3;nnTTn
176;( 5 or 5 ) sep ( 2 and 2 );sep or 5 5 and 2 2;nTnnT
177;not 1 sep ( 5 or 3 );sep not 1 or 5 3;FnnnT,FnTnn
178;( 5 or 1 ) sep 5;sep or 5 1 5;nnnnT
179;not 1 sep ( 1 or 3 );sep not 1 or 1 3;FnTnn
180;( 3 and 5 ) sep not 1;sep and 3 5 not 1;FnTnT
181;( 2 or 5 ) sep not 4;sep or 2 5 not 4;nnnFT,nTnFn
182;( 4 and 2 ) sep not 5;sep and 4 2 not 5;nTnTF
183;( 5 or 4 ) sep ( 5 or 1 );sep or 5 4 or 5 1;nnnnT,TnnTn
184;( 4 and 1 ) sep not 2;sep and 4 1 not 2;TFnTn
185;not 4 sep ( 2 or 2 );sep not 4 or 2 2;nTnFn
186;( 5 and 3 ) sep ( 4 or 4 );sep and 5 3 or 4 4;nnTTT
187;( 2 and 4 ) sep not 5;sep and 2 4 not 5;nTnTF
188;( 3 or 5 ) sep ( 5 and 3 );sep or 3 5 and 5 3;nnTnT
189;( 2 and 5 ) sep ( 5 or 4 );sep and 2 5 or 5 4;nTnnT
190;( 5 or 1 ) sep ( 3 and 3 );sep or 5 1 and 3 3;nnTnT,TnTnn
191;( 3 or 1 ) sep ( 4 or 2 );sep or 3 1 or 4 2;nnTTn,nTTnn,TnnTn,TTnnn
192;( 3 and 3 ) sep ( 5 and 2 );sep and 3 3 and 5 2;nTTnT
193;( 1 and 4 ) sep ( 3 or 5 );sep and 1 4 or 3 5;TnnTT,TnTTn
194;( 2 or 4 ) sep ( 5 or 3 );sep or 2 4 or 5 3;nnnTT,nnTTn,nTnnT,nTTnn
195;not 2 sep ( 5 or 3 );sep not 2 or 5 3;nFnnT,nFTnn
196;( 3 and 4 ) sep ( 4 or 3 );sep and 3 4 or 4 3;nnTTn
197;not 3 sep ( 1 and 1 );sep not 3 and 1 1;TnFnn
198;( 5 and 5 ) sep ( 1 or 4 );sep and 5 5 or 1 4;nnnTT,TnnnT
199;( 4 and 2 ) sep ( 5 or 1 );sep and 4 2 or 5 1;nTnTT,TTnTn
200;not 2 sep ( 5 and 4 );sep not 2 and 5 4;nFnTT
201;( 1 and 2 ) sep ( 2 or 1 );sep and 1 2 or 2 1;TTnnn
202;( 1 and 4 ) sep ( 1 or 1 );sep and 1 4 or 1 1;TnnTn
203;3 sep ( 3 or 3 );sep 3 or 3 3;nnTnn
204;( 1 and 2 ) sep ( 3 or 4 );sep and 1 2 or 3 4;TTnTn,TTTnn
205;( 3 and 2 ) sep not 5;sep and 3 2 not 5;nTTnF
206;not 1 sep ( 4 and 3 );sep not 1 and 4 3;FnTTn
207;( 5 or 4 ) sep not 3;sep or 5 4 not 3;nnFnT,nnFTn
208;not 2 sep ( 1 and 1 );sep not 2 and 1 1;TFnnn
209;5 sep ( 2 or 5 );sep 5 or 2 5;nnnnT
210;( 3 or 5 ) sep not 3;sep or 3 5 not 3;nnFnT
211;( 2 or 3 ) sep not 2;sep or 2 3 not 2;nFTnn
212;( 5 or 4 ) sep not 5;sep or 5 4 not 5;nnnTF
213;( 2 or 2 ) sep ( 5 or 3 );sep or 2 2 or 5 3;nTnnT,nTTnn
214;3 sep ( 3 or 1 );sep 3 or 3 1;nnTnn
215;( 3 and 1 ) sep ( 5 and 4 );sep and 3 1 and 5 4;TnTTT
216;( 4 or 2 ) sep ( 3 or 3 );sep or 4 2 or 3 3;nnTTn,nTTnn
217;5 sep ( 1 or 1 );sep 5 or 1 1;TnnnT
218;( 3 and 1 ) sep ( 2 and 1 );sep and 3 1 and 2 1;TTTnn
219;( 5 or 3 ) sep ( 1 and 4 );sep or 5 3 and 1 4;TnnTT,TnTTn
220;( 1 or 4 ) sep 3;sep or 1 4 3;nnTTn,TnTnn
221;not 5 sep ( 4 or 3 );sep not 5 or 4 3;nnnTF,nnTnF
222;not 4 sep ( 5 or 5 );sep not 4 or 5 5;nnnFT
223;( 5 or 3 ) sep ( 2 and 4 );sep or 5 3 and 2 4;nTnTT,nTTTn
224;( 2 and 5 ) sep ( 4 or 2 );sep and 2 5 or 4 2;nTnnT
225;( 2 or 5 ) sep ( 3 and 1 );sep or 2 5 and 3 1;TnTnT,TTTnn
226;( 1 and 1 ) sep ( 3 or 2 );sep and 1 1 or 3 2;TnTnn,TTnnn
227;5 sep 3;sep 5 3;nnTnT
228;not 5 sep ( 2 or 2 );sep not 5 or 2 2;nTnnF
229;not 4 sep ( 1 and 2 );sep not 4 and 1 2;TTnFn
230;not 5 sep not 5;sep not 5 not 5;nnnnF
231;( 4 and 3 ) sep ( 3 or 5 );sep and 4 3 or 3 5;nnTTn
232;( 4 and 3 ) sep ( 4 or 4 );sep and 4 3 or 4 4;nnTTn
233;( 2 or 3 ) sep ( 1 and 5 );sep or 2 3 and 1 5;TnTnT,TTnnT
234;( 5 and 3 ) sep ( 1 and 3 );sep and 5 3 and 1 3;TnTnT
235;4 sep ( 1 and 3 );sep 4 and 1 3;TnTTn
236;( 2 or 1 ) sep ( 4 or 4 );sep or 2 1 or 4 4;nTnTn,TnnTn
237;( 2 and 5 ) sep ( 4 and 3 );sep and 2 5 and 4 3;nTTTT
238;( 4 or 4 ) sep ( 5 or 5 );sep or 4 4 or 5 5;nnnTT
239;( 3 or 3 ) sep ( 3 or 4 );sep or 3 3 or 3 4;nnTnn
240;( 4 or 5 ) sep ( 2 or 4 );sep or 4 5 or 2 4;nnnTn,nTnnT
241;( 3 or 2 ) sep ( 5 or 1 );sep or 3 2 or 5 1;nnTnT,nTnnT,TnTnn,TTnnn
242;not 1 sep ( 2 and 2 );sep not 1 and 2 2;FTnnn
243;1 sep ( 1 and 5 );sep 1 and 1 5;TnnnT
244;( 2 or 4 ) sep not 3;sep or 2 4 not 3;nnFTn,nTFnn
245;( 1 and 1 ) sep not 3;sep and 1 1 not 3;TnFnn
246;( 2 and 3 ) sep not 4;sep and 2 3 not 4;nTTFn
247;( 5 and 5 ) sep not 2;sep and 5 5 not 2;nFnnT
248;( 1 or 4 ) sep ( 4 and 1 );sep or 1 4 and 4 1;TnnTn
249;1 sep ( 4 or 5 );sep 1 or 4 5;TnnnT,TnnTn
250;4 sep ( 4 and 1 );sep 4 and 4 1;TnnTn
251;( 2 and 1 ) sep ( 5 and 3 );sep and 2 1 and 5 3;TTTnT
252;( 3 or 3 ) sep not 2;sep or 3 3 not 2;nFTnn
253;( 1 and 5 ) sep 1;sep and 1 5 1;TnnnT
254;( 3 and 4 ) sep ( 3 or 2 );sep and 3 4 or 3 2;nnTTn
255;( 1 and 4 ) sep not 2;sep and 1 4 not 2;TFnTn
256;not 5 sep ( 4 and 2 );sep not 5 and 4 2;nTnTF
257;( 1 or 3 ) sep not 5;sep or 1 3 not 5;nnTnF,TnnnF
258;( 5 and 4 ) sep 2;sep and 5 4 2;nTnTT
259;( 1 and 5 ) sep ( 4 and 1 );sep and 1 5 and 4 1;TnnTT
260;( 1 or 5 ) sep ( 4 and 3 );sep or 1 5 and 4 3;nnTTT,TnTTn
261;( 5 or 2 ) sep not 2;sep or 5 2 not 2;nFnnT
262;not 3 sep ( 3 or 1 );sep not 3 or 3 1;TnFnn
263;3 sep not 2;sep 3 not 2;nFTnn
264;( 5 or 5 ) sep ( 4 or 3 );sep or 5 5 or 4 3;nnnTT,nnTnT
265;( 4 and 3 ) sep ( 3 and 1 );sep and 4 3 and 3 1;TnTTn
266;not 5 sep not 3;sep not 5 not 3;nnFnF
267;( 1 or 5 ) sep ( 1 and 3 );sep or 1 5 and 1 3;TnTnn
268;not 2 sep ( 3 and 4 );sep not 2 and 3 4;nFTTn
269;( 4 or 3 ) sep ( 5 and 4 );sep or 4 3 and 5 4;nnnTT
270;4 sep 3;sep 4 3;nnTTn
271;( 3 or 3 ) sep ( 1 or 2 );sep or 3 3 or 1 2;nTTnn,TnTnn
272;( 1 or 1 ) sep not 5;sep or 1 1 not 5;TnnnF
273;1 sep ( 5 or 3 );sep 1 or 5 3;TnnnT,TnTnn
274;( 2 or 3 ) sep not 3;sep or 2 3 not 3;nTFnn
275;( 3 or 5 ) sep not 4;sep or 3 5 not 4;nnnFT,nnTFn
276;( 5 and 2 ) sep not 4;sep and 5 2 not 4;nTnFT
277;( 4 or 4 ) sep ( 3 or 2 );sep or 4 4 or 3 2;nnTTn,nTnTn
278;not 5 sep 3;sep not 5 3;nnTnF
279;not 5 sep ( 5 or 3 );sep not 5 or 5 3;nnTnF
280;( 3 or 4 ) sep ( 2 and 4 );sep or 3 4 and 2 4;nTnTn
281;( 4 and 2 ) sep not 1;sep and 4 2 not 1;FTnTn
282;not 1 sep ( 3 and 3 );sep not 1 and 3 3;FnTnn
283;( 3 and 5 ) sep not 4;sep and 3 5 not 4;nnTFT
284;not 4 sep not 1;sep not 4 not 1;FnnFn
285;not 4 sep ( 1 or 4 );sep not 4 or 1 4;TnnFn
286;( 5 or 2 ) sep not 5;sep or 5 2 not 5;nTnnF
287;( 1 and 5 ) sep ( 4 or 3 );sep and 1 5 or 4 3;TnnTT,TnTnT
288;3 sep not 1;sep 3 not 1;FnTnn
289;not 3 sep ( 2 or 5 );sep not 3 or 2 5;nnFnT,nTFnn
290;( 2 or 3 ) sep ( 3 or 2 );sep or 2 3 or 3 2;nnTnn,nTnnn
291;( 1 and 3 ) sep not 5;sep and 1 3 not 5;TnTnF
292;( 4 and 2 ) sep not 3;sep and 4 2 not 3;nTFTn
293;( 2 or 4 ) sep not 4;sep or 2 4 not 4;nTnFn
294;( 3 and 5 ) sep 4;sep and 3 5 4;nnTTT
295;( 4 and 3 ) sep ( 5 and 4 );sep and 4 3 and 5 4;nnTTT
296;( 4 and 1 ) sep ( 1 or 4 );sep and 4 1 or 1 4;TnnTn
297;( 2 and 4 ) sep ( 4 and 1 );sep and 2 4 and 4 1;TTnTn
298;( 5 or 5 ) sep ( 3 and 4 );sep or 5 5 and 3 4;nnTTT
299;( 2 or 3 ) sep ( 4 or 5 );sep or 2 3 or 4 5;nnTnT,nnTTn,nTnnT,nTnTn
300;4 sep 4;sep 4 4;nnnTn
301;( 4 or 4 ) sep ( 1 or 4 );sep or 4 4 or 1 4;nnnTn
302;( 3 and 5 ) sep ( 4 and 2 );sep and 3 5 and 4 2;nTTTT
303;( 5 and 4 ) sep ( 1 and 2 );sep and 5 4 and 1 2;TTnTT
304;( 3 and 5 ) sep ( 2 or 3 );sep and 3 5 or 2 3;nnTnT
305;( 3 or 1 ) sep ( 1 and 2 );sep or 3 1 and 1 2;TTnnn
306;( 2 or 3 ) sep ( 3 and 1 );sep or 2 3 and 3 1;TnTnn
307;not 3 sep ( 5 or 3 );sep not 3 or 5 3;nnFnT
308;( 3 or 2 ) sep ( 2 and 5 );sep or 3 2 and 2 5;nTnnT
309;4 sep not 1;sep 4 not 1;FnnTn
310;5 sep ( 5 and 3 );sep 5 and 5 3;nnTnT
311;( 1 and 2 ) sep ( 1 or 1 );sep and 1 2 or 1 1;TTnnn
312;not 2 sep not 3;sep not 2 not 3;nFFnn
313;2 sep ( 4 or 5 );sep 2 or 4 5;nTnnT,nTnTn
314;4 sep ( 2 or 2 );sep 4 or 2 2;nTnTn
315;( 2 or 1 ) sep ( 1 or 3 );sep or 2 1 or 1 3;nTTnn,Tnnnn
316;( 4 and 5 ) sep not 1;sep and 4 5 not 1;FnnTT
317;( 5 and 2 ) sep 4;sep and 5 2 4;nTnTT
318;not 4 sep ( 3 or 4 );sep not 4 or 3 4;nnTFn
319;( 2 and 1 ) sep not 3;sep and 2 1 not 3;TTFnn
320;( 1 and 5 ) sep ( 1 and 4 );sep and 1 5 and 1 4;TnnTT
321;4 sep 5;sep 4 5;nnnTT
322;( 2 or 2 ) sep ( 5 or 2 );sep or 2 2 or 5 2;nTnnn
323;not 3 sep ( 2 and 2 );sep not 3 and 2 2;nTFnn
324;not 3 sep ( 3 or 5 );sep not 3 or 3 5;nnFnT
325;not 4 sep ( 4 or 1 );sep not 4 or 4 1;TnnFn
326;( 2 and 5 ) sep ( 5 and 3 );sep and 2 5 and 5 3;nTTnT
327;not 3 sep not 1;sep not 3 not 1;FnFnn
328;( 5 and 1 ) sep ( 1 and 4 );sep and 5 1 and 1 4;TnnTT
329;( 2 or 4 ) sep ( 3 and 2 );sep or 2 4 and 3 2;nTTnn
330;3 sep ( 5 and 2 );sep 3 and 5 2;nTTnT
331;( 3 and 2 ) sep ( 2 or 1 );sep and 3 2 or 2 1;nTTnn
332;not 2 sep ( 3 or 5 );sep not 2 or 3 5;nFnnT,nFTnn
333;not 1 sep ( 2 and 3 );sep not 1 and 2 3;FTTnn
334;( 5 or 5 ) sep ( 1 and 4 );sep or 5 5 and 1 4;TnnTT
335;not 3 sep 5;sep not 3 5;nnFnT
336;not 1 sep ( 5 or 4 );sep not 1 or 5 4;FnnnT,FnnTn
337;( 3 and 3 ) sep ( 4 or 1 );sep and 3 3 or 4 1;nnTTn,TnTnn
338;( 2 or 3 ) sep 5;sep or 2 3 5;nnTnT,nTnnT
339;( 5 and 5 ) sep ( 4 or 5 );sep and 5 5 or 4 5;nnnnT
340;( 5 or 1 ) sep ( 4 and 3 );sep or 5 1 and 4 3;nnTTT,TnTTn
341;( 3 or 2 ) sep not 2;sep or 3 2 not 2;nFTnn
342;( 2 and 4 ) sep ( 5 or 3 );sep and 2 4 or 5 3;nTnTT,nTTTn
343;not 4 sep 5;sep not 4 5;nnnFT
344;( 1 or 1 ) sep ( 2 and 4 );sep or 1 1 and 2 4;TTnTn
345;( 1 or 1 ) sep ( 4 and 1 );sep or 1 1 and 4 1;TnnTn
346;( 3 or 3 ) sep ( 1 and 5 );sep or 3 3 and 1 5;TnTnT
347;( 4 or 3 ) sep ( 1 and 5 );sep or 4 3 and 1 5;TnnTT,TnTnT
