;infix;prefix;conclusion
42;( 2 and 1 ) sep ( 1 and 2 );sep and 2 1 and 1 2;TTnnn
43;( 5 or 4 ) sep ( 1 or 1 );sep or 5 4 or 1 1;TnnnT,TnnTn
44;4 sep not 2;sep 4 not 2;nFnTn
45;( 1 or 1 ) sep ( 3 and 3 );sep or 1 1 and 3 3;TnTnn
46;( 3 and 4 ) sep ( 5 and 1 );sep and 3 4 and 5 1;TnTTT
47;( 3 or 1 ) sep ( 5 or 2 );sep or 3 1 or 5 2;nnTnT,nTTnn,TnnnT,TTnnn
48;not 2 sep not 4;sep not 2 not 4;nFnFn
49;( 5 or 2 ) sep ( 3 or 1 );sep or 5 2 or 3 1;nnTnT,nTTnn,TnnnT,TTnnn
50;not 3 sep not 5;sep not 3 not 5;nnFnF
51;4 sep ( 5 or 4 );sep 4 or 5 4;nnnTn
52;( 5 or 4 ) sep not 4;sep or 5 4 not 4;nnnFT
53;3 sep ( 2 and 5 );sep 3 and 2 5;nTTnT
54;( 5 and 4 ) sep ( 1 and 1 );sep and 5 4 and 1 1;TnnTT
55;( 2 and 4 ) sep ( 3 or 5 );sep and 2 4 or 3 5;nTnTT,nTTTn
56;not 1 sep ( 3 or 5 );sep not 1 or 3 5;FnnnT,FnTnn
57;not 1 sep not 3;sep not 1 not 3;FnFnn
58;( 5 and 5 ) sep ( 3 and 5 );sep and 5 5 and 3 5;nnTnT
59;( 1 and 1 ) sep not 2;sep and 1 1 not 2;TFnnn
60;( 4 or 1 ) sep not 3;sep or 4 1 not 3;nnFTn,TnFnn
61;( 2 and 1 ) sep ( 5 or 4 );sep and 2 1 or 5 4;TTnnT,TTnTn
62;( 1 and 5 ) sep ( 1 and 3 );sep and 1 5 and 1 3;TnTnT
63;not 4 sep ( 4 or 1 );sep not 4 or 4 1;TnnFn
64;( 4 or 5 ) sep ( 5 or 4 );sep or 4 5 or 5 4;nnnnT,nnnTn
65;( 2 or 3 ) sep ( 3 and 4 );sep or 2 3 and 3 4;nnTTn
66;not 1 sep ( 4 or 5 );sep not 1 or 4 5;FnnnT,FnnTn
67;( 3 or 1 ) sep ( 2 or 5 );sep or 3 1 or 2 5;nnTnT,nTTnn,TnnnT,TTnnn
68;( 5 and 5 ) sep 2;sep and 5 5 2;nTnnT
69;( 3 and 2 ) sep ( 5 and 2 );sep and 3 2 and 5 2;nTTnT
70;( 3 or 5 ) sep ( 1 or 2 );sep or 3 5 or 1 2;nTnnT,nTTnn,TnnnT,TnTnn
71;( 5 and 5 ) sep 1;sep and 5 5 1;TnnnT
72;( 4 or 1 ) sep ( 1 and 4 );sep or 4 1 and 1 4;TnnTn
73;( 2 or 1 ) sep 4;sep or 2 1 4;nTnTn,TnnTn
74;not 5 sep not 4;sep not 5 not 4;nnnFF
75;( 1 and 3 ) sep ( 4 or 4 );sep and 1 3 or 4 4;TnTTn
76;not 3 sep ( 4 or 1 );sep not 3 or 4 1;nnFTn,TnFnn
77;( 4 and 3 ) sep ( 2 and 5 );sep and 4 3 and 2 5;nTTTT
78;not 1 sep ( 5 and 2 );sep not 1 and 5 2;FTnnT
79;( 4 and 1 ) sep ( 3 and 5 );sep and 4 1 and 3 5;TnTTT
80;( 2 or 4 ) sep ( 4 and 5 );sep or 2 4 and 4 5;nnnTT
81;( 3 or 1 ) sep not 1;sep or 3 1 not 1;FnTnn
82;( 5 and 4 ) sep ( 5 and 5 );sep and 5 4 and 5 5;nnnTT
83;not 1 sep ( 2 and 2 );sep not 1 and 2 2;FTnnn
84;( 2 or 2 ) sep not 4;sep or 2 2 not 4;nTnFn
85;( 2 and 2 ) sep ( 1 and 1 );sep and 2 2 and 1 1;TTnnn
86;( 4 and 4 ) sep ( 2 and 1 );sep and 4 4 and 2 1;TTnTn
87;( 3 and 5 ) sep ( 2 and 2 );sep and 3 5 and 2 2;nTTnT
88;( 1 or 1 ) sep ( 5 or 3 );sep or 1 1 or 5 3;TnnnT,TnTnn
89;( 4 or 3 ) sep ( 5 and 5 );sep or 4 3 and 5 5;nnnTT,nnTnT
90;( 1 and 1 ) sep ( 5 or 2 );sep and 1 1 or 5 2;TnnnT,TTnnn
91;not 3 sep ( 3 or 4 );sep not 3 or 3 4;nnFTn
92;( 5 or 2 ) sep ( 1 or 2 );sep or 5 2 or 1 2;nTnnn,TnnnT
93;( 5 and 2 ) sep ( 5 or 5 );sep and 5 2 or 5 5;nTnnT
94;( 1 and 5 ) sep ( 5 or 5 );sep and 1 5 or 5 5;TnnnT
95;( 2 and 4 ) sep ( 4 and 5 );sep and 2 4 and 4 5;nTnTT
96;( 5 and 1 ) sep not 4;sep and 5 1 not 4;TnnFT
97;( 1 or 5 ) sep not 2;sep or 1 5 not 2;nFnnT,TFnnn
98;( 2 or 3 ) sep not 2;sep or 2 3 not 2;nFTnn
99;not 1 sep not 4;sep not 1 not 4;FnnFn
100;not 2 sep ( 1 or 2 );sep not 2 or 1 2;TFnnn
101;( 3 and 2 ) sep ( 5 or 3 );sep and 3 2 or 5 3;nTTnn
102;2 sep ( 1 or 4 );sep 2 or 1 4;nTnTn,TTnnn
103;not 1 sep not 2;sep not 1 not 2;FFnnn
104;5 sep ( 4 or 5 );sep 5 or 4 5;nnnnT
105;( 3 and 4 ) sep ( 4 and 1 );sep and 3 4 and 4 1;TnTTn
106;( 1 and 2 ) sep not 3;sep and 1 2 not 3;TTFnn
107;1 sep ( 2 and 3 );sep 1 and 2 3;TTTnn
108;( 4 and 5 ) sep ( 1 and 4 );sep and 4 5 and 1 4;TnnTT
109;1 sep 1;sep 1 1;Tnnnn
110;not 2 sep ( 5 and 5 );sep not 2 and 5 5;nFnnT
111;( 5 or 3 ) sep 1;sep or 5 3 1;TnnnT,TnTnn
112;( 2 or 5 ) sep ( 4 and 2 );sep or 2 5 and 4 2;nTnTn
113;( 2 or 2 ) sep ( 1 and 5 );sep or 2 2 and 1 5;TTnnT
114;( 5 or 4 ) sep 4;sep or 5 4 4;nnnTn
115;not 3 sep not 1;sep not 3 not 1;FnFnn
116;( 5 and 5 ) sep not 2;sep and 5 5 not 2;nFnnT
117;4 sep 5;sep 4 5;nnnTT
118;( 3 and 4 ) sep 2;sep and 3 4 2;nTTTn
119;( 2 and 2 ) sep ( 3 or 4 );sep and 2 2 or 3 4;nTnTn,nTTnn
120;( 1 or 1 ) sep ( 4 and 2 );sep or 1 1 and 4 2;TTnTn
121;( 3 or 5 ) sep ( 3 and 4 );sep or 3 5 and 3 4;nnTTn
122;not 3 sep ( 2 and 5 );sep not 3 and 2 5;nTFnT
123;( 3 or 3 ) sep not 2;sep or 3 3 not 2;nFTnn
124;( 2 or 3 ) sep ( 4 and 4 );sep or 2 3 and 4 4;nnTTn,nTnTn
125;( 2 or 1 ) sep not 2;sep or 2 1 not 2;TFnnn
126;not 3 sep ( 2 or 3 );sep not 3 or 2 3;nTFnn
127;not 4 sep ( 3 or 2 );sep not 4 or 3 2;nnTFn,nTnFn
128;( 2 or 4 ) sep ( 1 and 1 );sep or 2 4 and 1 1;TnnTn,TTnnn
129;( 5 or 3 ) sep ( 4 or 3 );sep or 5 3 or 4 3;nnnTT,nnTnn
130;( 4 or 1 ) sep ( 1 or 3 );sep or 4 1 or 1 3;nnTTn,Tnnnn
131;not 2 sep ( 3 or 5 );sep not 2 or 3 5;nFnnT,nFTnn
132;3 sep ( 1 or 1 );sep 3 or 1 1;TnTnn
133;( 1 or 2 ) sep 3;sep or 1 2 3;nTTnn,TnTnn
134;not 3 sep not 2;sep not 3 not 2;nFFnn
135;not 3 sep ( 5 or 4 );sep not 3 or 5 4;nnFnT,nnFTn
136;( 2 or 2 ) sep not 1;sep or 2 2 not 1;FTnnn
137;( 2 and 1 ) sep ( 4 and 5 );sep and 2 1 and 4 5;TTnTT
138;not 1 sep ( 4 or 2 );sep not 1 or 4 2;FnnTn,FTnnn
139;( 2 or 5 ) sep ( 5 or 1 );sep or 2 5 or 5 1;nnnnT,TTnnn
140;( 1 and 5 ) sep ( 1 and 5 );sep and 1 5 and 1 5;TnnnT
141;( 3 and 5 ) sep 2;sep and 3 5 2;nTTnT
142;3 sep ( 3 or 4 );sep 3 or 3 4;nnTnn
143;not 5 sep ( 4 or 5 );sep not 5 or 4 5;nnnTF
144;( 2 or 5 ) sep ( 2 and 4 );sep or 2 5 and 2 4;nTnTn
145;not 5 sep ( 2 and 4 );sep not 5 and 2 4;nTnTF
146;( 3 or 4 ) sep not 2;sep or 3 4 not 2;nFnTn,nFTnn
147;( 1 and 1 ) sep not 4;sep and 1 1 not 4;TnnFn
148;( 5 and 2 ) sep ( 5 and 3 );sep and 5 2 and 5 3;nTTnT
149;not 3 sep 2;sep not 3 2;nTFnn
150;( 2 or 3 ) sep ( 3 or 5 );sep or 2 3 or 3 5;nnTnn,nTnnT
151;1 sep ( 2 and 4 );sep 1 and 2 4;TTnTn
152;( 2 and 3 ) sep ( 1 and 3 );sep and 2 3 and 1 3;TTTnn
153;not 4 sep ( 5 or 2 );sep not 4 or 5 2;nnnFT,nTnFn
154;not 1 sep ( 4 or 3 );sep not 1 or 4 3;FnnTn,FnTnn
155;( 4 or 2 ) sep ( 5 or 3 );sep or 4 2 or 5 3;nnnTT,nnTTn,nTnnT,nTTnn
156;( 1 or 4 ) sep ( 2 and 1 );sep or 1 4 and 2 1;TTnnn
157;not 2 sep not 1;sep not 2 not 1;FFnnn
158;( 3 or 2 ) sep not 1;sep or 3 2 not 1;FnTnn,FTnnn
159;( 2 and 4 ) sep not 5;sep and 2 4 not 5;nTnTF
160;( 4 or 1 ) sep ( 1 or 5 );sep or 4 1 or 1 5;nnnTT,Tnnnn
161;( 5 and 4 ) sep 2;sep and 5 4 2;nTnTT
162;not 4 sep ( 5 or 5 );sep not 4 or 5 5;nnnFT
163;( 3 or 5 ) sep ( 5 and 2 );sep or 3 5 and 5 2;nTnnT
164;( 3 or 2 ) sep ( 2 or 5 );sep or 3 2 or 2 5;nnTnT,nTnnn
165;( 2 or 3 ) sep ( 3 and 2 );sep or 2 3 and 3 2;nTTnn
166;not 5 sep not 2;sep not 5 not 2;nFnnF
167;( 1 or 2 ) sep ( 2 and 1 );sep or 1 2 and 2 1;TTnnn
168;( 4 and 3 ) sep ( 2 and 2 );sep and 4 3 and 2 2;nTTTn
169;( 3 or 4 ) sep ( 4 or 5 );sep or 3 4 or 4 5;nnnTn,nnTnT
170;( 3 and 3 ) sep not 2;sep and 3 3 not 2;nFTnn
171;3 sep ( 5 and 4 );sep 3 and 5 4;nnTTT
172;( 1 or 1 ) sep ( 5 or 2 );sep or 1 1 or 5 2;TnnnT,TTnnn
173;( 3 and 3 ) sep ( 2 and 3 );sep and 3 3 and 2 3;nTTnn
174;not 4 sep not 5;sep not 4 not 5;nnnFF
175;( 4 and 5 ) sep ( 4 or 3 );sep and 4 5 or 4 3;nnnTT
176;not 3 sep 1;sep not 3 1;TnFnn
177;( 1 and 2 ) sep 2;sep and 1 2 2;TTnnn
178;( 5 or 4 ) sep not 1;sep or 5 4 not 1;FnnnT,FnnTn
179;( 1 and 4 ) sep ( 3 or 2 );sep and 1 4 or 3 2;TnTTn,TTnTn
180;( 5 or 4 ) sep 3;sep or 5 4 3;nnTnT,nnTTn
181;( 2 and 3 ) sep not 5;sep and 2 3 not 5;nTTnF
182;( 2 and 5 ) sep ( 2 or 3 );sep and 2 5 or 2 3;nTnnT
183;( 1 or 5 ) sep ( 2 or 4 );sep or 1 5 or 2 4;nnnTT,nTnnT,TnnTn,TTnnn
184;( 4 and 2 ) sep not 1;sep and 4 2 not 1;FTnTn
185;( 3 or 3 ) sep 1;sep or 3 3 1;TnTnn
186;not 3 sep ( 1 or 4 );sep not 3 or 1 4;nnFTn,TnFnn
187;not 3 sep ( 2 and 2 );sep not 3 and 2 2;nTFnn
188;( 2 or 1 ) sep not 1;sep or 2 1 not 1;FTnnn
189;3 sep not 2;sep 3 not 2;nFTnn
190;( 1 or 1 ) sep ( 3 and 5 );sep or 1 1 and 3 5;TnTnT
191;( 1 or 3 ) sep ( 3 or 1 );sep or 1 3 or 3 1;nnTnn,Tnnnn
192;not 3 sep ( 2 or 4 );sep not 3 or 2 4;nnFTn,nTFnn
193;3 sep ( 2 or 4 );sep 3 or 2 4;nnTTn,nTTnn
194;( 2 and 3 ) sep ( 3 and 5 );sep and 2 3 and 3 5;nTTnT
195;( 2 or 5 ) sep not 3;sep or 2 5 not 3;nnFnT,nTFnn
196;not 3 sep ( 5 and 2 );sep not 3 and 5 2;nTFnT
197;1 sep ( 3 or 1 );sep 1 or 3 1;Tnnnn
198;not 4 sep ( 3 or 3 );sep not 4 or 3 3;nnTFn
199;5 sep ( 2 and 2 );sep 5 and 2 2;nTnnT
200;( 3 and 4 ) sep not 2;sep and 3 4 not 2;nFTTn
201;4 sep ( 1 or 1 );sep 4 or 1 1;TnnTn
202;( 2 or 3 ) sep ( 4 and 2 );sep or 2 3 and 4 2;nTnTn
203;( 3 and 5 ) sep not 4;sep and 3 5 not 4;nnTFT
204;not 2 sep not 5;sep not 2 not 5;nFnnF
205;( 5 or 3 ) sep ( 4 or 2 );sep or 5 3 or 4 2;nnnTT,nnTTn,nTnnT,nTTnn
206;not 1 sep 4;sep not 1 4;FnnTn
207;2 sep ( 4 and 3 );sep 2 and 4 3;nTTTn
208;( 2 or 1 ) sep ( 5 or 1 );sep or 2 1 or 5 1;nTnnT,Tnnnn
209;( 3 or 4 ) sep ( 5 and 4 );sep or 3 4 and 5 4;nnnTT
210;( 5 and 5 ) sep ( 4 or 4 );sep and 5 5 or 4 4;nnnTT
211;( 5 and 2 ) sep ( 2 and 3 );sep and 5 2 and 2 3;nTTnT
212;( 5 and 4 ) sep ( 5 or 2 );sep and 5 4 or 5 2;nnnTT
213;( 2 or 1 ) sep not 3;sep or 2 1 not 3;nTFnn,TnFnn
214;4 sep ( 2 or 1 );sep 4 or 2 1;nTnTn,TnnTn
215;( 2 and 5 ) sep ( 1 and 2 );sep and 2 5 and 1 2;TTnnT
216;( 1 and 4 ) sep 1;sep and 1 4 1;TnnTn
217;( 1 or 4 ) sep 1;sep or 1 4 1;Tnnnn
218;( 5 and 5 ) sep ( 4 or 5 );sep and 5 5 or 4 5;nnnnT
219;( 3 or 5 ) sep ( 2 and 2 );sep or 3 5 and 2 2;nTnnT,nTTnn
220;( 5 or 2 ) sep ( 5 or 1 );sep or 5 2 or 5 1;nnnnT,TTnnn
221;( 5 or 4 ) sep ( 3 or 2 );sep or 5 4 or 3 2;nnTnT,nnTTn,nTnnT,nTnTn
222;( 3 and 4 ) sep not 1;sep and 3 4 not 1;FnTTn
223;( 3 and 2 ) sep not 1;sep and 3 2 not 1;FTTnn
224;( 4 and 1 ) sep ( 1 and 4 );sep and 4 1 and 1 4;TnnTn
225;1 sep 4;sep 1 4;TnnTn
226;( 5 and 1 ) sep 3;sep and 5 1 3;TnTnT
227;( 3 and 2 ) sep not 4;sep and 3 2 not 4;nTTFn
228;not 2 sep ( 4 or 4 );sep not 2 or 4 4;nFnTn
229;( 3 or 1 ) sep ( 5 and 2 );sep or 3 1 and 5 2;nTTnT,TTnnT
230;not 3 sep not 3;sep not 3 not 3;nnFnn
231;( 3 and 5 ) sep ( 5 and 5 );sep and 3 5 and 5 5;nnTnT
232;( 5 and 3 ) sep not 2;sep and 5 3 not 2;nFTnT
233;( 4 and 2 ) sep ( 1 or 5 );sep and 4 2 or 1 5;nTnTT,TTnTn
234;not 5 sep ( 4 and 4 );sep not 5 and 4 4;nnnTF
235;( 4 and 3 ) sep not 2;sep and 4 3 not 2;nFTTn
236;( 4 or 3 ) sep ( 2 and 1 );sep or 4 3 and 2 1;TTnTn,TTTnn
237;( 2 and 4 ) sep ( 3 and 5 );sep and 2 4 and 3 5;nTTTT
238;( 5 or 1 ) sep ( 2 or 2 );sep or 5 1 or 2 2;nTnnT,TTnnn
239;( 2 and 3 ) sep 2;sep and 2 3 2;nTTnn
240;( 2 or 1 ) sep not 5;sep or 2 1 not 5;nTnnF,TnnnF
241;not 1 sep ( 4 and 3 );sep not 1 and 4 3;FnTTn
242;( 5 and 3 ) sep ( 4 or 5 );sep and 5 3 or 4 5;nnTnT
243;( 3 and 1 ) sep ( 2 and 1 );sep and 3 1 and 2 1;TTTnn
244;not 4 sep ( 1 or 3 );sep not 4 or 1 3;nnTFn,TnnFn
245;( 4 or 4 ) sep 1;sep or 4 4 1;TnnTn
246;( 3 or 1 ) sep ( 5 or 1 );sep or 3 1 or 5 1;nnTnT,Tnnnn
247;( 3 and 2 ) sep not 5;sep and 3 2 not 5;nTTnF
248;not 4 sep ( 3 and 2 );sep not 4 and 3 2;nTTFn
249;not 5 sep ( 5 or 4 );sep not 5 or 5 4;nnnTF
250;( 4 and 4 ) sep not 5;sep and 4 4 not 5;nnnTF
251;( 4 or 5 ) sep ( 3 and 2 );sep or 4 5 and 3 2;nTTnT,nTTTn
252;not 2 sep ( 3 and 4 );sep not 2 and 3 4;nFTTn
253;( 4 or 1 ) sep ( 5 or 4 );sep or 4 1 or 5 4;nnnTn,TnnnT
254;( 4 or 5 ) sep ( 4 or 2 );sep or 4 5 or 4 2;nnnTn,nTnnT
255;( 3 or 1 ) sep ( 4 or 3 );sep or 3 1 or 4 3;nnTnn,TnnTn
256;( 5 or 4 ) sep ( 5 or 3 );sep or 5 4 or 5 3;nnnnT,nnTTn
257;( 3 or 1 ) sep not 2;sep or 3 1 not 2;nFTnn,TFnnn
258;( 3 or 3 ) sep not 1;sep or 3 3 not 1;FnTnn
259;( 4 and 5 ) sep 4;sep and 4 5 4;nnnTT
260;( 2 or 2 ) sep ( 1 and 4 );sep or 2 2 and 1 4;TTnTn
261;( 4 and 2 ) sep ( 4 and 1 );sep and 4 2 and 4 1;TTnTn
262;( 5 or 5 ) sep ( 1 or 1 );sep or 5 5 or 1 1;TnnnT
263;( 5 or 1 ) sep 4;sep or 5 1 4;nnnTT,TnnTn
264;( 3 and 4 ) sep ( 3 and 2 );sep and 3 4 and 3 2;nTTTn
265;( 4 or 3 ) sep ( 1 and 3 );sep or 4 3 and 1 3;TnTnn
266;5 sep ( 3 or 2 );sep 5 or 3 2;nnTnT,nTnnT
267;not 4 sep ( 1 or 5 );sep not 4 or 1 5;nnnFT,TnnFn
268;( 5 and 1 ) sep ( 2 and 1 );sep and 5 1 and 2 1;TTnnT
269;( 5 or 1 ) sep ( 3 and 1 );sep or 5 1 and 3 1;TnTnn
270;( 5 or 4 ) sep ( 2 and 2 );sep or 5 4 and 2 2;nTnnT,nTnTn
271;( 5 and 2 ) sep ( 4 or 2 );sep and 5 2 or 4 2;nTnnT
272;( 2 and 1 ) sep ( 2 or 3 );sep and 2 1 or 2 3;TTnnn
273;( 5 or 5 ) sep not 3;sep or 5 5 not 3;nnFnT
274;4 sep ( 3 and 4 );sep 4 and 3 4;nnTTn
275;not 4 sep not 2;sep not 4 not 2;nFnFn
276;( 2 or 1 ) sep ( 2 or 5 );sep or 2 1 or 2 5;nTnnn,TnnnT
277;( 2 or 3 ) sep ( 5 and 3 );sep or 2 3 and 5 3;nnTnT
278;not 1 sep ( 3 or 1 );sep not 1 or 3 1;FnTnn
279;( 2 or 4 ) sep ( 5 or 3 );sep or 2 4 or 5 3;nnnTT,nnTTn,nTnnT,nTTnn
280;( 5 and 5 ) sep ( 5 or 2 );sep and 5 5 or 5 2;nnnnT
281;( 1 or 4 ) sep not 3;sep or 1 4 not 3;nnFTn,TnFnn
282;2 sep ( 1 or 2 );sep 2 or 1 2;nTnnn
283;( 1 or 1 ) sep not 3;sep or 1 1 not 3;TnFnn
284;not 5 sep ( 4 or 1 );sep not 5 or 4 1;nnnTF,TnnnF
285;( 3 and 1 ) sep ( 5 or 4 );sep and 3 1 or 5 4;TnTnT,TnTTn
286;( 1 or 1 ) sep ( 2 or 3 );sep or 1 1 or 2 3;TnTnn,TTnnn
287;( 4 or 5 ) sep not 5;sep or 4 5 not 5;nnnTF
288;( 4 or 2 ) sep not 1;sep or 4 2 not 1;FnnTn,FTnnn
289;not 2 sep ( 5 or 2 );sep not 2 or 5 2;nFnnT
290;( 2 or 2 ) sep ( 1 or 2 );sep or 2 2 or 1 2;nTnnn
291;( 5 and 4 ) sep not 1;sep and 5 4 not 1;FnnTT
292;( 4 or 2 ) sep not 5;sep or 4 2 not 5;nnnTF,nTnnF
293;( 5 or 3 ) sep ( 1 or 1 );sep or 5 3 or 1 1;TnnnT,TnTnn
294;( 1 and 5 ) sep not 4;sep and 1 5 not 4;TnnFT
295;( 1 and 1 ) sep ( 3 and 2 );sep and 1 1 and 3 2;TTTnn
296;1 sep 5;sep 1 5;TnnnT
297;( 3 or 2 ) sep 4;sep or 3 2 4;nnTTn,nTnTn
298;not 4 sep ( 2 and 1 );sep not 4 and 2 1;TTnFn
299;( 3 and 5 ) sep ( 4 or 3 );sep and 3 5 or 4 3;nnTnT
300;not 4 sep ( 3 or 5 );sep not 4 or 3 5;nnnFT,nnTFn
301;( 2 and 3 ) sep ( 2 and 2 );sep and 2 3 and 2 2;nTTnn
302;not 5 sep 2;sep not 5 2;nTnnF
303;not 2 sep 3;sep not 2 3;nFTnn
304;( 4 and 1 ) sep ( 5 and 2 );sep and 4 1 and 5 2;TTnTT
305;4 sep not 5;sep 4 not 5;nnnTF
306;not 4 sep not 4;sep not 4 not 4;nnnFn
307;( 1 and 4 ) sep ( 2 or 1 );sep and 1 4 or 2 1;TnnTn
308;( 2 and 5 ) sep ( 5 or 1 );sep and 2 5 or 5 1;nTnnT
309;( 4 and 3 ) sep ( 1 or 2 );sep and 4 3 or 1 2;nTTTn,TnTTn
310;not 2 sep 4;sep not 2 4;nFnTn
311;( 3 and 5 ) sep ( 4 or 1 );sep and 3 5 or 4 1;nnTTT,TnTnT
312;( 2 or 4 ) sep not 1;sep or 2 4 not 1;FnnTn,FTnnn
313;3 sep ( 5 or 2 );sep 3 or 5 2;nnTnT,nTTnn
314;not 2 sep not 2;sep not 2 not 2;nFnnn
315;( 3 and 4 ) sep ( 5 or 2 );sep and 3 4 or 5 2;nnTTT,nTTTn
316;( 2 or 2 ) sep not 3;sep or 2 2 not 3;nTFnn
317;not 1 sep 3;sep not 1 3;FnTnn
318;( 4 and 5 ) sep 1;sep and 4 5 1;TnnTT
319;4 sep ( 1 or 2 );sep 4 or 1 2;nTnTn,TnnTn
320;( 4 or 2 ) sep ( 1 and 1 );sep or 4 2 and 1 1;TnnTn,TTnnn
321;not 4 sep ( 5 and 3 );sep not 4 and 5 3;nnTFT
322;( 5 and 4 ) sep ( 3 or 4 );sep and 5 4 or 3 4;nnnTT
323;4 sep ( 1 and 4 );sep 4 and 1 4;TnnTn
324;not 4 sep ( 2 or 2 );sep not 4 or 2 2;nTnFn
325;( 5 or 2 ) sep ( 5 or 5 );sep or 5 2 or 5 5;nnnnT
326;( 3 and 3 ) sep ( 1 or 4 );sep and 3 3 or 1 4;nnTTn,TnTnn
327;( 4 and 4 ) sep ( 3 and 2 );sep and 4 4 and 3 2;nTTTn
328;not 2 sep ( 3 or 4 );sep not 2 or 3 4;nFnTn,nFTnn
329;( 3 or 5 ) sep not 2;sep or 3 5 not 2;nFnnT,nFTnn
330;( 5 or 1 ) sep 5;sep or 5 1 5;nnnnT
331;( 4 or 3 ) sep ( 3 and 1 );sep or 4 3 and 3 1;TnTnn
332;( 5 and 5 ) sep not 1;sep and 5 5 not 1;FnnnT
333;( 1 and 4 ) sep ( 3 or 4 );sep and 1 4 or 3 4;TnnTn
334;( 1 or 1 ) sep ( 4 or 4 );sep or 1 1 or 4 4;TnnTn
335;( 5 or 3 ) sep not 5;sep or 5 3 not 5;nnTnF
336;( 1 or 2 ) sep ( 3 or 2 );sep or 1 2 or 3 2;nTnnn,TnTnn
337;not 3 sep ( 5 and 4 );sep not 3 and 5 4;nnFTT
338;( 2 and 3 ) sep ( 2 or 3 );sep and 2 3 or 2 3;nTTnn
339;( 5 and 4 ) sep 1;sep and 5 4 1;TnnTT
340;( 1 and 2 ) sep ( 5 and 4 );sep and 1 2 and 5 4;TTnTT
341;not 2 sep ( 3 and 1 );sep not 2 and 3 1;TFTnn
342;not 2 sep ( 1 or 1 );sep not 2 or 1 1;TFnnn
343;5 sep ( 3 and 5 );sep 5 and 3 5;nnTnT
344;not 5 sep 3;sep not 5 3;nnTnF
345;4 sep ( 3 or 1 );sep 4 or 3 1;nnTTn,TnnTn
346;not 1 sep ( 3 or 2 );sep not 1 or 3 2;FnTnn,FTnnn
347;not 1 sep ( 4 and 4 );sep not 1 and 4 4;FnnTn
